GET_PID_POINT_x;GET_PID_POINT_y;GET_ADC_2_x;GET_ADC_2_y;GET_CURRENT_x;GET_CURRENT_y
0;400;0;398;0;298
1;400;1;399;1;300
2;400;2;401;2;300
3;400;3;395;3;302
4;400;4;397;4;306
5;400;5;396;5;310
6;400;6;401;6;312
7;400;7;398;7;316
8;400;8;398;8;322
9;400;9;398;9;318
10;400;10;403;10;322
11;400;11;401;11;326
12;400;12;398;12;330
13;400;13;403;13;336
14;400;14;399;14;346
15;400;15;392;15;342
16;400;16;399;16;348
17;400;17;394;17;350
18;400;18;398;18;356
19;400;19;397;19;362
20;400;20;400;20;366
21;400;21;396;21;370
22;400;22;405;22;372
23;400;23;397;23;376
24;400;24;394;24;372
25;400;25;402;25;374
26;400;26;402;26;368
27;400;27;402;27;366
28;400;28;399;28;368
29;400;29;402;29;360
30;400;30;395;30;358
31;400;31;407;31;354
32;400;32;400;32;358
33;400;33;406;33;356
34;400;34;399;34;352
35;400;35;399;35;352
36;400;36;398;36;350
37;400;37;401;37;350
38;400;38;396;38;352
39;400;39;404;39;348
40;400;40;395;40;348
41;400;41;406;41;344
42;400;42;399;42;344
43;400;43;399;43;342
44;400;44;405;44;336
45;400;45;403;45;332
46;400;46;403;46;340
47;400;47;400;47;340
48;400;48;401;48;340
49;400;49;402;49;334
50;400;50;400;50;336
51;400;51;402;51;334
52;400;52;399;52;334
53;400;53;402;53;328
54;400;54;401;54;328
55;400;55;398;55;330
56;400;56;403;56;328
57;400;57;400;57;326
58;400;58;403;58;322
59;400;59;400;59;322
60;400;60;402;60;324
61;400;61;393;61;320
62;400;62;397;62;326
63;400;63;398;63;322
64;400;64;400;64;324
65;400;65;397;65;324
66;400;66;402;66;320
67;400;67;398;67;320
68;400;68;396;68;324
69;400;69;398;69;316
70;400;70;400;70;316
71;400;71;398;71;320
72;400;72;400;72;322
73;400;73;400;73;318
74;400;74;400;74;318
75;400;75;399;75;324
76;400;76;400;76;318
77;400;77;406;77;318
78;400;78;409;78;314
79;400;79;399;79;318
80;400;80;401;80;316
81;400;81;410;81;316
82;400;82;398;82;316
83;400;83;412;83;314
84;400;84;398;84;312
85;400;85;400;85;314
86;400;86;399;86;312
87;400;87;398;87;312
88;400;88;402;88;310
89;400;89;397;89;308
90;400;90;403;90;306
91;400;91;402;91;304
92;400;92;401;92;304
93;400;93;397;93;310
94;400;94;404;94;304
95;400;95;401;95;310
96;400;96;398;96;306
97;400;97;404;97;308
98;400;98;400;98;306
99;400;99;399;99;306
100;400;100;402;100;312
101;400;101;394;101;308
102;400;102;399;102;304
103;400;103;396;103;308
104;400;104;403;104;300
105;400;105;400;105;302
106;400;106;401;106;304
107;400;107;400;107;304
108;400;108;408;108;304
109;400;109;395;109;304
110;400;110;402;110;306
111;400;111;400;111;300
112;400;112;406;112;298
113;400;113;393;113;296
114;400;114;401;114;302
115;400;115;395;115;300
116;400;116;403;116;302
117;400;117;399;117;302
118;400;118;396;118;298
119;400;119;401;119;302
120;400;120;400;120;302
121;400;121;400;121;298
122;400;122;395;122;300
123;400;123;401;123;298
124;400;124;406;124;296
125;400;125;415;125;296
126;400;126;401;126;296
127;400;127;397;127;298
128;400;128;401;128;302
129;400;129;406;129;298
130;400;130;399;130;300
131;400;131;400;131;296
132;400;132;400;132;300
133;400;133;405;133;296
134;400;134;398;134;298
135;400;135;400;135;298
136;400;136;401;136;300
137;400;137;402;137;300
138;400;138;403;138;300
139;400;139;399;139;300
140;400;140;406;140;296
141;400;141;399;141;294
142;400;142;397;142;300
143;400;143;400;143;298
144;400;144;411;144;296
145;400;145;400;145;296
146;400;146;398;146;298
147;400;147;394;147;296
148;400;148;395;148;296
149;400;149;397;149;296
150;400;150;396;150;296
151;400;151;399;151;296
152;400;152;409;152;294
153;400;153;401;153;296
154;400;154;397;154;296
155;400;155;402;155;296
156;400;156;401;156;296
157;400;157;402;157;294
158;400;158;402;158;298
159;400;159;402;159;298
160;400;160;404;160;292
161;400;161;392;161;294
162;400;162;399;162;296
163;400;163;399;163;292
164;400;164;406;164;296
165;400;165;401;165;294
166;400;166;401;166;296
167;400;167;401;167;300
168;400;168;402;168;298
169;400;169;393;169;296
170;400;170;390;170;294
171;400;171;398;171;294
172;400;172;401;172;296
173;400;173;396;173;296
174;400;174;402;174;298
175;400;175;399;175;296
176;400;176;401;176;292
177;400;177;400;177;294
178;400;178;399;178;296
179;400;179;398;179;296
180;400;180;396;180;292
181;400;181;397;181;296
182;400;182;403;182;290
183;400;183;399;183;296
184;400;184;401;184;292
185;400;185;395;185;294
186;400;186;398;186;294
187;400;187;399;187;296
188;400;188;398;188;296
189;400;189;397;189;292
190;400;190;400;190;294
191;400;191;399;191;288
192;400;192;405;192;292
193;400;193;398;193;298
194;400;194;399;194;296
195;400;195;401;195;294
196;400;196;402;196;296
197;400;197;394;197;294
198;400;198;403;198;292
199;400;199;397;199;288
200;400;200;396;200;290
201;400;201;397;201;294
202;400;202;399;202;294
203;400;203;398;203;292
204;400;204;399;204;288
205;400;205;399;205;292
206;400;206;399;206;290
207;400;207;399;207;290
208;400;208;394;208;290
209;400;209;400;209;292
210;400;210;397;210;294
211;400;211;399;211;296
212;400;212;388;212;292
213;400;213;397;213;296
214;400;214;398;214;292
215;400;215;400;215;292
216;400;216;398;216;294
217;400;217;406;217;286
218;400;218;398;218;290
219;400;219;398;219;292
220;400;220;398;220;290
221;400;221;405;221;292
222;400;222;397;222;292
223;400;223;399;223;290
224;400;224;401;224;296
225;400;225;402;225;294
226;400;226;398;226;290
227;400;227;405;227;288
228;400;228;403;228;292
229;400;229;400;229;294
230;400;230;398;230;292
231;400;231;405;231;294
232;400;232;400;232;292
233;400;233;402;233;292
234;400;234;404;234;290
235;400;235;406;235;290
236;400;236;400;236;292
237;400;237;406;237;290
238;400;238;400;238;288
239;400;239;401;239;286
240;400;240;399;240;292
241;400;241;395;241;290
242;400;242;404;242;290
243;400;243;400;243;294
244;400;244;398;244;290
245;400;245;406;245;286
246;400;246;401;246;290
247;400;247;393;247;290
248;400;248;398;248;286
249;400;249;401;249;290
250;400;250;401;250;290
251;400;251;399;251;290
252;400;252;404;252;286
253;400;253;399;253;284
254;400;254;400;254;284
255;400;255;401;255;294
256;400;256;401;256;290
257;400;257;396;257;290
258;400;258;402;258;290
259;400;259;404;259;290
260;400;260;400;260;290
261;400;261;401;261;288
262;400;262;401;262;292
263;400;263;402;263;288
264;400;264;397;264;286
265;400;265;400;265;284
266;400;266;405;266;292
267;400;267;405;267;290
268;400;268;398;268;290
269;400;269;399;269;282
270;400;270;403;270;288
271;400;271;404;271;290
272;400;272;401;272;288
273;400;273;398;273;292
274;400;274;398;274;288
275;400;275;404;275;286
276;400;276;397;276;288
277;400;277;399;277;288
278;400;278;399;278;288
279;400;279;402;279;290
280;400;280;397;280;290
281;400;281;402;281;284
282;400;282;402;282;288
283;400;283;395;283;294
284;400;284;403;284;284
285;400;285;399;285;288
286;400;286;401;286;290
287;400;287;400;287;288
288;400;288;400;288;290
289;400;289;396;289;288
290;400;290;402;290;288
291;400;291;399;291;290
292;400;292;395;292;292
293;400;293;397;293;286
294;400;294;394;294;284
295;400;295;403;295;290
296;400;296;401;296;286
297;400;297;405;297;294
298;400;298;402;298;290
299;400;299;395;299;284
