"GET_PID_POINT_x";"GET_PID_POINT_y";"GET_ADC_2_x";"GET_ADC_2_y";"GET_CURRENT_x";"GET_CURRENT_y"
0;400;0;401;0;294;
1;400;1;401;1;290;
2;400;2;396;2;290;
3;400;3;402;3;290;
4;400;4;404;4;290;
5;400;5;400;5;290;
6;400;6;401;6;288;
7;400;7;401;7;292;
8;400;8;402;8;288;
9;400;9;397;9;286;
10;400;10;400;10;284;
11;400;11;405;11;292;
12;400;12;405;12;290;
13;400;13;398;13;290;
14;400;14;399;14;282;
15;400;15;403;15;288;
16;400;16;404;16;290;
17;400;17;401;17;288;
18;400;18;398;18;292;
19;400;19;398;19;288;
20;400;20;404;20;286;
21;400;21;397;21;288;
22;400;22;399;22;288;
23;400;23;399;23;288;
24;400;24;402;24;290;
25;400;25;397;25;290;
26;400;26;402;26;284;
27;400;27;402;27;288;
28;400;28;395;28;294;
29;400;29;403;29;284;
30;400;30;399;30;288;
31;400;31;401;31;290;
32;400;32;400;32;288;
33;400;33;400;33;290;
34;400;34;396;34;288;
35;400;35;402;35;288;
36;400;36;399;36;290;
37;400;37;395;37;292;
38;400;38;397;38;286;
39;400;39;394;39;284;
40;400;40;403;40;290;
41;400;41;401;41;286;
42;400;42;405;42;294;
43;400;43;402;43;290;
44;400;44;395;44;284;
45;400;45;397;45;286;
46;400;46;399;46;288;
47;400;47;399;47;284;
48;400;48;401;48;288;
49;400;49;398;49;288;
50;400;50;403;50;288;
51;400;51;400;51;284;
52;400;52;396;52;288;
53;400;53;399;53;282;
54;400;54;400;54;288;
55;400;55;399;55;290;
56;400;56;393;56;284;
57;400;57;405;57;284;
58;400;58;403;58;290;
59;400;59;393;59;288;
60;400;60;400;60;284;
61;400;61;398;61;288;
62;400;62;392;62;282;
63;400;63;402;63;286;
64;400;64;405;64;284;
65;400;65;401;65;286;
66;400;66;402;66;284;
67;400;67;398;67;288;
68;400;68;401;68;286;
69;400;69;393;69;288;
70;400;70;404;70;282;
71;400;71;387;71;282;
72;400;72;393;72;292;
73;400;73;401;73;288;
74;400;74;399;74;286;
75;400;75;401;75;284;
76;400;76;401;76;288;
77;400;77;397;77;290;
78;400;78;396;78;282;
79;400;79;397;79;286;
80;400;80;400;80;282;
81;400;81;404;81;286;
82;400;82;398;82;280;
83;400;83;403;83;284;
84;400;84;395;84;286;
85;400;85;400;85;284;
86;400;86;398;86;290;
87;400;87;401;87;286;
88;400;88;391;88;284;
89;400;89;405;89;286;
90;400;90;393;90;282;
91;400;91;404;91;280;
92;400;92;398;92;282;
93;400;93;397;93;284;
94;400;94;411;94;284;
95;400;95;399;95;282;
96;400;96;397;96;286;
97;400;97;403;97;284;
98;400;98;395;98;286;
99;400;99;396;99;284;
100;400;100;407;100;282;
101;400;101;396;101;286;
102;400;102;393;102;284;
103;400;103;400;103;282;
104;400;104;399;104;284;
105;400;105;394;105;286;
106;400;106;403;106;280;
107;400;107;399;107;280;
108;400;108;396;108;290;
109;400;109;398;109;286;
110;400;110;400;110;284;
111;400;111;402;111;282;
112;400;112;404;112;284;
113;400;113;400;113;288;
114;400;114;399;114;282;
115;400;115;400;115;286;
116;400;116;401;116;288;
117;400;117;401;117;286;
118;400;118;402;118;284;
119;400;119;408;119;284;
120;400;120;397;120;280;
121;400;121;396;121;284;
122;400;122;399;122;282;
123;400;123;403;123;280;
124;400;124;402;124;284;
125;400;125;402;125;286;
126;400;126;396;126;282;
127;400;127;400;127;284;
128;400;128;406;128;282;
129;400;129;405;129;276;
130;400;130;397;130;282;
131;400;131;398;131;288;
132;400;132;403;132;284;
133;400;133;399;133;284;
134;400;134;404;134;286;
135;400;135;408;135;284;
136;400;136;408;136;284;
