GET_CURRENT_x;GET_CURRENT_y;GET_ADC_2_x;GET_ADC_2_y;GET_PID_POINT_x;GET_PID_POINT_y;;;;
0;38;0;702;0;700;;70,2;70,16666667;38,09090909
1;38;1;702;1;700;;70,2;70,16666667;38,09090909
2;38;2;701;2;700;;70,1;70,13333333;38,18181818
3;38;3;702;3;700;;70,2;70,13333333;38,27272727
4;38;4;701;4;700;;70,1;70,1;38,27272727
5;39;5;701;5;700;;70,1;70,06666667;38,36363636
6;38;6;701;6;700;;70,1;69,96666667;38,36363636
7;38;7;700;7;700;;70;69,93333333;38,36363636
8;38;8;698;8;700;;69,8;69,96666667;38,36363636
9;38;9;700;9;700;;70;70,03333333;38,36363636
10;38;10;701;10;700;;70,1;70;38,36363636
11;38;11;700;11;700;;70;69,93333333;38,45454545
12;39;12;699;12;700;;69,9;69,96666667;38,45454545
13;39;13;699;13;700;;69,9;70,03333333;38,36363636
14;38;14;701;14;700;;70,1;70,06666667;38,27272727
15;39;15;701;15;700;;70,1;70;38,27272727
16;39;16;700;16;700;;70;69,93333333;38,18181818
17;38;17;699;17;700;;69,9;69,93333333;38,18181818
18;38;18;699;18;700;;69,9;69,96666667;38,18181818
19;38;19;700;19;700;;70;70,03333333;38,27272727
20;38;20;700;20;700;;70;70,03333333;38,27272727
21;39;21;701;21;700;;70,1;70,03333333;38,27272727
22;38;22;700;22;700;;70;69,93333333;38,27272727
23;38;23;700;23;700;;70;69,9;38,27272727
24;38;24;698;24;700;;69,8;69,93333333;38,36363636
25;38;25;699;25;700;;69,9;70;38,45454545
26;38;26;701;26;700;;70,1;70;38,45454545
27;39;27;700;27;700;;70;69,93333333;38,54545455
28;38;28;699;28;700;;69,9;69,93333333;38,45454545
29;39;29;699;29;700;;69,9;69,93333333;38,45454545
30;38;30;700;30;700;;70;69,93333333;38,45454545
31;38;31;699;31;700;;69,9;70;38,54545455
32;39;32;699;32;700;;69,9;70;38,54545455
33;38;33;702;33;700;;70,2;70;38,45454545
34;39;34;699;34;700;;69,9;69,93333333;38,45454545
35;39;35;699;35;700;;69,9;70;38,45454545
36;38;36;700;36;700;;70;69,96666667;38,45454545
37;39;37;701;37;700;;70,1;69,9;38,54545455
38;38;38;698;38;700;;69,8;69,9;38,54545455
39;38;39;698;39;700;;69,8;69,96666667;38,54545455
40;39;40;701;40;700;;70,1;69,96666667;38,54545455
41;39;41;700;41;700;;70;69,93333333;38,45454545
42;38;42;698;42;700;;69,8;69,9;38,36363636
43;38;43;700;43;700;;70;69,93333333;38,36363636
44;38;44;699;44;700;;69,9;69,9;38,36363636
45;39;45;699;45;700;;69,9;69,96666667;38,36363636
46;39;46;699;46;700;;69,9;70;38,36363636
47;39;47;701;47;700;;70,1;70;38,36363636
48;39;48;700;48;700;;70;70;38,36363636
49;38;49;699;49;700;;69,9;70;38,27272727
50;38;50;701;50;700;;70,1;69,96666667;38,36363636
51;38;51;700;51;700;;70;69,86666667;38,36363636
52;38;52;698;52;700;;69,8;69,96666667;38,45454545
53;38;53;698;53;700;;69,8;70,06666667;38,54545455
54;38;54;703;54;700;;70,3;70,13333333;38,54545455
55;38;55;701;55;700;;70,1;70;38,63636364
56;39;56;700;56;700;;70;69,93333333;38,63636364
57;39;57;699;57;700;;69,9;69,93333333;38,63636364
58;39;58;699;58;700;;69,9;70;38,63636364
59;38;59;700;59;700;;70;70,03333333;38,63636364
60;39;60;701;60;700;;70,1;70,03333333;38,63636364
61;38;61;700;61;700;;70;70;38,54545455
62;39;62;700;62;700;;70;70,03333333;38,54545455
63;39;63;700;63;700;;70;70,1;38,54545455
64;38;64;701;64;700;;70,1;70,03333333;38,54545455
65;39;65;702;65;700;;70,2;69,96666667;38,63636364
66;38;66;698;66;700;;69,8;69,83333333;38,54545455
67;39;67;699;67;700;;69,9;69,9;38,63636364
68;39;68;698;68;700;;69,8;69,86666667;38,54545455
69;39;69;700;69;700;;70;69,93333333;38,45454545
70;38;70;698;70;700;;69,8;69,93333333;38,45454545
71;38;71;700;71;700;;70;69,93333333;38,45454545
72;38;72;700;72;700;;70;69,9;38,54545455
73;39;73;698;73;700;;69,8;69,86666667;38,63636364
74;39;74;699;74;700;;69,9;69,9;38,63636364
75;39;75;699;75;700;;69,9;69,93333333;38,63636364
76;38;76;699;76;700;;69,9;69,9;38,63636364
77;39;77;700;77;700;;70;69,9;38,63636364
78;38;78;698;78;700;;69,8;69,9;38,63636364
79;38;79;699;79;700;;69,9;69,93333333;38,72727273
80;39;80;700;80;700;;70;69,93333333;38,81818182
81;38;81;699;81;700;;69,9;69,96666667;38,81818182
82;39;82;699;82;700;;69,9;69,96666667;38,90909091
83;39;83;701;83;700;;70,1;69,96666667;38,90909091
84;39;84;699;84;700;;69,9;69,9;38,90909091
85;39;85;699;85;700;;69,9;69,93333333;38,90909091
86;39;86;699;86;700;;69,9;69,96666667;38,90909091
87;38;87;700;87;700;;70;69,96666667;38,90909091
88;39;88;700;88;700;;70;69,93333333;38,90909091
89;39;89;699;89;700;;69,9;69,93333333;38,90909091
90;39;90;699;90;700;;69,9;69,93333333;38,90909091
